contest,candidate,vote_type,precinct,votes
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Election,4443 NORW 4-C,82
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Early,4411 NORW 1-A,10
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Early,4412 NORW 1-B,37
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Early,4413 NORW 1-C,20
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Early,4421 NORW 2-A,29
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Early,4422 NORW 2-B,26
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Early,4423 NORW 2-C,21
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Early,4431 NORW 3-A,14
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Early,4432 NORW 3-B,18
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Early,4433 NORW 3-C,36
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Early,4441 NORW 4-A,13
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Early,4442 NORW 4-B,23
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Early,4443 NORW 4-C,34
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Election,4411 NORW 1-A,40
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Election,4412 NORW 1-B,72
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Election,4413 NORW 1-C,60
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Election,4421 NORW 2-A,108
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Election,4422 NORW 2-B,89
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Election,4423 NORW 2-C,81
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Election,4431 NORW 3-A,71
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Election,4432 NORW 3-B,71
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Election,4433 NORW 3-C,142
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Election,4441 NORW 4-A,33
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Election,4442 NORW 4-B,63
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Election,4443 NORW 4-C,68
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Early,4411 NORW 1-A,11
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Early,4412 NORW 1-B,36
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Early,4413 NORW 1-C,20
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Early,4421 NORW 2-A,31
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Early,4422 NORW 2-B,24
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Early,4423 NORW 2-C,21
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Early,4431 NORW 3-A,14
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Early,4432 NORW 3-B,19
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Early,4433 NORW 3-C,34
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Early,4441 NORW 4-A,12
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Early,4442 NORW 4-B,20
CITY OF NORWOOD For Member of Council at Large,Chad Eaton,Early,4443 NORW 4-C,30
CITY OF NORWOOD For Member of Council (1st Ward),Sam Bowling,Election,4411 NORW 1-A,88
CITY OF NORWOOD For Member of Council (1st Ward),Sam Bowling,Election,4412 NORW 1-B,101
CITY OF NORWOOD For Member of Council (1st Ward),Sam Bowling,Election,4413 NORW 1-C,156
CITY OF NORWOOD For Member of Council (1st Ward),Sam Bowling,Early,4411 NORW 1-A,29
CITY OF NORWOOD For Member of Council (1st Ward),Sam Bowling,Early,4412 NORW 1-B,60
CITY OF NORWOOD For Member of Council (1st Ward),Sam Bowling,Early,4413 NORW 1-C,33
CITY OF NORWOOD For Member of Council (2nd Ward),Jon Moore,Election,4421 NORW 2-A,176
CITY OF NORWOOD For Member of Council (2nd Ward),Jon Moore,Election,4422 NORW 2-B,170
CITY OF NORWOOD For Member of Council (2nd Ward),Jon Moore,Election,4423 NORW 2-C,155
CITY OF NORWOOD For Member of Council (2nd Ward),Jon Moore,Early,4421 NORW 2-A,68
CITY OF NORWOOD For Member of Council (2nd Ward),Jon Moore,Early,4422 NORW 2-B,64
CITY OF NORWOOD For Member of Council (2nd Ward),Jon Moore,Early,4423 NORW 2-C,49
CITY OF NORWOOD For Member of Council (2nd Ward),Patrick Dowling,Election,4421 NORW 2-A,102
CITY OF NORWOOD For Member of Council (2nd Ward),Patrick Dowling,Election,4422 NORW 2-B,68
CITY OF NORWOOD For Member of Council (2nd Ward),Patrick Dowling,Election,4423 NORW 2-C,71
CITY OF NORWOOD For Member of Council (2nd Ward),Patrick Dowling,Early,4421 NORW 2-A,26
CITY OF NORWOOD For Member of Council (2nd Ward),Patrick Dowling,Early,4422 NORW 2-B,23
CITY OF NORWOOD For Member of Council (2nd Ward),Patrick Dowling,Early,4423 NORW 2-C,15
CITY OF NORWOOD For Member of Council (3rd Ward),Jeff Girton,Election,4431 NORW 3-A,121
CITY OF NORWOOD For Member of Council (3rd Ward),Jeff Girton,Election,4432 NORW 3-B,71
CITY OF NORWOOD For Member of Council (3rd Ward),Jeff Girton,Election,4433 NORW 3-C,169
CITY OF NORWOOD For Member of Council (3rd Ward),Jeff Girton,Early,4431 NORW 3-A,38
CITY OF NORWOOD For Member of Council (3rd Ward),Jeff Girton,Early,4432 NORW 3-B,53
CITY OF NORWOOD For Member of Council (3rd Ward),Jeff Girton,Early,4433 NORW 3-C,63
CITY OF NORWOOD For Member of Council (3rd Ward),Ryan Beck,Election,4431 NORW 3-A,68
CITY OF NORWOOD For Member of Council (3rd Ward),Ryan Beck,Election,4432 NORW 3-B,71
CITY OF NORWOOD For Member of Council (3rd Ward),Ryan Beck,Election,4433 NORW 3-C,133
CITY OF NORWOOD For Member of Council (3rd Ward),Ryan Beck,Early,4431 NORW 3-A,12
CITY OF NORWOOD For Member of Council (3rd Ward),Ryan Beck,Early,4432 NORW 3-B,15
CITY OF NORWOOD For Member of Council (3rd Ward),Ryan Beck,Early,4433 NORW 3-C,31
CITY OF NORWOOD For Member of Council (4th Ward),Danielle Sullivan,Election,4441 NORW 4-A,106
CITY OF NORWOOD For Member of Council (4th Ward),Danielle Sullivan,Election,4442 NORW 4-B,106
CITY OF NORWOOD For Member of Council (4th Ward),Danielle Sullivan,Election,4443 NORW 4-C,124
CITY OF NORWOOD For Member of Council (4th Ward),Danielle Sullivan,Early,4441 NORW 4-A,37
CITY OF NORWOOD For Member of Council (4th Ward),Danielle Sullivan,Early,4442 NORW 4-B,54
CITY OF NORWOOD For Member of Council (4th Ward),Danielle Sullivan,Early,4443 NORW 4-C,40
CITY OF NORWOOD For Member of Council (4th Ward),John Breadon,Election,4441 NORW 4-A,36
CITY OF NORWOOD For Member of Council (4th Ward),John Breadon,Election,4442 NORW 4-B,66
CITY OF NORWOOD For Member of Council (4th Ward),John Breadon,Election,4443 NORW 4-C,76
CITY OF NORWOOD For Member of Council (4th Ward),John Breadon,Early,4441 NORW 4-A,13
CITY OF NORWOOD For Member of Council (4th Ward),John Breadon,Early,4442 NORW 4-B,17
CITY OF NORWOOD For Member of Council (4th Ward),John Breadon,Early,4443 NORW 4-C,34
CITY OF READING For President of Council,Kevin M. Mattscheck,Election,4611 READ 1-A,167
CITY OF READING For President of Council,Kevin M. Mattscheck,Election,4612 READ 1-B,41
CITY OF READING For President of Council,Kevin M. Mattscheck,Election,4621 READ 2-A,109
CITY OF READING For President of Council,Kevin M. Mattscheck,Election,4622 READ 2-B,76
CITY OF READING For President of Council,Kevin M. Mattscheck,Election,4631 READ 3-A,129
CITY OF READING For President of Council,Kevin M. Mattscheck,Election,4632 READ 3-B,123
CITY OF READING For President of Council,Kevin M. Mattscheck,Election,4641 READ 4-A,140
CITY OF READING For President of Council,Kevin M. Mattscheck,Election,4642 READ 4-B,223
CITY OF READING For President of Council,Kevin M. Mattscheck,Early,4611 READ 1-A,45
CITY OF READING For President of Council,Kevin M. Mattscheck,Early,4612 READ 1-B,2
CITY OF READING For President of Council,Kevin M. Mattscheck,Early,4621 READ 2-A,16
CITY OF READING For President of Council,Kevin M. Mattscheck,Early,4622 READ 2-B,12
CITY OF READING For President of Council,Kevin M. Mattscheck,Early,4631 READ 3-A,21
CITY OF READING For President of Council,Kevin M. Mattscheck,Early,4632 READ 3-B,14
CITY OF READING For President of Council,Kevin M. Mattscheck,Early,4641 READ 4-A,13
CITY OF READING For President of Council,Kevin M. Mattscheck,Early,4642 READ 4-B,21
CITY OF READING For Treasurer,Brenda A. Owens,Election,4611 READ 1-A,160
CITY OF READING For Treasurer,Brenda A. Owens,Election,4612 READ 1-B,43
CITY OF READING For Treasurer,Brenda A. Owens,Election,4621 READ 2-A,103
CITY OF READING For Treasurer,Brenda A. Owens,Election,4622 READ 2-B,78
CITY OF READING For Treasurer,Brenda A. Owens,Election,4631 READ 3-A,131
CITY OF READING For Treasurer,Brenda A. Owens,Election,4632 READ 3-B,126
CITY OF READING For Treasurer,Brenda A. Owens,Election,4641 READ 4-A,129
CITY OF READING For Treasurer,Brenda A. Owens,Election,4642 READ 4-B,219
CITY OF READING For Treasurer,Brenda A. Owens,Early,4611 READ 1-A,45
CITY OF READING For Treasurer,Brenda A. Owens,Early,4612 READ 1-B,2
CITY OF READING For Treasurer,Brenda A. Owens,Early,4621 READ 2-A,14
CITY OF READING For Treasurer,Brenda A. Owens,Early,4622 READ 2-B,12
CITY OF READING For Treasurer,Brenda A. Owens,Early,4631 READ 3-A,21
CITY OF READING For Treasurer,Brenda A. Owens,Early,4632 READ 3-B,17
CITY OF READING For Treasurer,Brenda A. Owens,Early,4641 READ 4-A,13
CITY OF READING For Treasurer,Brenda A. Owens,Early,4642 READ 4-B,24
CITY OF READING For Member of Council at Large,Katie Eadicicco,Election,4611 READ 1-A,160
CITY OF READING For Member of Council at Large,Katie Eadicicco,Election,4612 READ 1-B,43
CITY OF READING For Member of Council at Large,Katie Eadicicco,Election,4621 READ 2-A,96
CITY OF READING For Member of Council at Large,Katie Eadicicco,Election,4622 READ 2-B,100
CITY OF READING For Member of Council at Large,Katie Eadicicco,Election,4631 READ 3-A,118
CITY OF READING For Member of Council at Large,Katie Eadicicco,Election,4632 READ 3-B,122
CITY OF READING For Member of Council at Large,Katie Eadicicco,Election,4641 READ 4-A,122
CITY OF READING For Member of Council at Large,Katie Eadicicco,Election,4642 READ 4-B,194
CITY OF READING For Member of Council at Large,Katie Eadicicco,Early,4611 READ 1-A,53
CITY OF READING For Member of Council at Large,Katie Eadicicco,Early,4612 READ 1-B,1
CITY OF READING For Member of Council at Large,Katie Eadicicco,Early,4621 READ 2-A,20
CITY OF READING For Member of Council at Large,Katie Eadicicco,Early,4622 READ 2-B,15
CITY OF READING For Member of Council at Large,Katie Eadicicco,Early,4631 READ 3-A,27
CITY OF READING For Member of Council at Large,Katie Eadicicco,Early,4632 READ 3-B,18
CITY OF READING For Member of Council at Large,Katie Eadicicco,Early,4641 READ 4-A,12
CITY OF READING For Member of Council at Large,Katie Eadicicco,Early,4642 READ 4-B,20
CITY OF READING For Member of Council at Large,Shelly Kroeger,Election,4611 READ 1-A,157
CITY OF READING For Member of Council at Large,Shelly Kroeger,Election,4612 READ 1-B,38
CITY OF READING For Member of Council at Large,Shelly Kroeger,Election,4621 READ 2-A,83
CITY OF READING For Member of Council at Large,Shelly Kroeger,Election,4622 READ 2-B,87
CITY OF READING For Member of Council at Large,Shelly Kroeger,Election,4631 READ 3-A,108
CITY OF READING For Member of Council at Large,Shelly Kroeger,Election,4632 READ 3-B,126
CITY OF READING For Member of Council at Large,Shelly Kroeger,Election,4641 READ 4-A,120
CITY OF READING For Member of Council at Large,Shelly Kroeger,Election,4642 READ 4-B,204
CITY OF READING For Member of Council at Large,Shelly Kroeger,Early,4611 READ 1-A,56
CITY OF READING For Member of Council at Large,Shelly Kroeger,Early,4612 READ 1-B,1
CITY OF READING For Member of Council at Large,Shelly Kroeger,Early,4621 READ 2-A,22
CITY OF READING For Member of Council at Large,Shelly Kroeger,Early,4622 READ 2-B,14
CITY OF READING For Member of Council at Large,Shelly Kroeger,Early,4631 READ 3-A,27
CITY OF READING For Member of Council at Large,Shelly Kroeger,Early,4632 READ 3-B,15
CITY OF READING For Member of Council at Large,Shelly Kroeger,Early,4641 READ 4-A,10
CITY OF READING For Member of Council at Large,Shelly Kroeger,Early,4642 READ 4-B,16
CITY OF READING For Member of Council at Large,Scott V. Thamann,Election,4611 READ 1-A,150
CITY OF READING For Member of Council at Large,Scott V. Thamann,Election,4612 READ 1-B,35
CITY OF READING For Member of Council at Large,Scott V. Thamann,Election,4621 READ 2-A,90
CITY OF READING For Member of Council at Large,Scott V. Thamann,Election,4622 READ 2-B,82
CITY OF READING For Member of Council at Large,Scott V. Thamann,Election,4631 READ 3-A,106
CITY OF READING For Member of Council at Large,Scott V. Thamann,Election,4632 READ 3-B,125
CITY OF READING For Member of Council at Large,Scott V. Thamann,Election,4641 READ 4-A,115
CITY OF READING For Member of Council at Large,Scott V. Thamann,Election,4642 READ 4-B,207
CITY OF READING For Member of Council at Large,Scott V. Thamann,Early,4611 READ 1-A,44
CITY OF READING For Member of Council at Large,Scott V. Thamann,Early,4612 READ 1-B,1
CITY OF READING For Member of Council at Large,Scott V. Thamann,Early,4621 READ 2-A,22
CITY OF READING For Member of Council at Large,Scott V. Thamann,Early,4622 READ 2-B,11
CITY OF READING For Member of Council at Large,Scott V. Thamann,Early,4631 READ 3-A,23
CITY OF READING For Member of Council at Large,Scott V. Thamann,Early,4632 READ 3-B,18
CITY OF READING For Member of Council at Large,Scott V. Thamann,Early,4641 READ 4-A,10
CITY OF READING For Member of Council at Large,Scott V. Thamann,Early,4642 READ 4-B,20
CITY OF READING For Member of Council at Large,Robert J. Ashbrock,Election,4611 READ 1-A,81
CITY OF READING For Member of Council at Large,Robert J. Ashbrock,Election,4612 READ 1-B,19
CITY OF READING For Member of Council at Large,Robert J. Ashbrock,Election,4621 READ 2-A,72
CITY OF READING For Member of Council at Large,Robert J. Ashbrock,Election,4622 READ 2-B,43
CITY OF READING For Member of Council at Large,Robert J. Ashbrock,Election,4631 READ 3-A,79
CITY OF READING For Member of Council at Large,Robert J. Ashbrock,Election,4632 READ 3-B,72
CITY OF READING For Member of Council at Large,Robert J. Ashbrock,Election,4641 READ 4-A,82
CITY OF READING For Member of Council at Large,Robert J. Ashbrock,Election,4642 READ 4-B,112
CITY OF READING For Member of Council at Large,Robert J. Ashbrock,Early,4611 READ 1-A,25
CITY OF READING For Member of Council at Large,Robert J. Ashbrock,Early,4612 READ 1-B,2
CITY OF READING For Member of Council at Large,Robert J. Ashbrock,Early,4621 READ 2-A,8
CITY OF READING For Member of Council at Large,Robert J. Ashbrock,Early,4622 READ 2-B,5
CITY OF READING For Member of Council at Large,Robert J. Ashbrock,Early,4631 READ 3-A,9
CITY OF READING For Member of Council at Large,Robert J. Ashbrock,Early,4632 READ 3-B,11
CITY OF READING For Member of Council at Large,Robert J. Ashbrock,Early,4641 READ 4-A,5
CITY OF READING For Member of Council at Large,Robert J. Ashbrock,Early,4642 READ 4-B,12
CITY OF READING For Member of Council (1st Ward),David A. Powell,Election,4611 READ 1-A,148
CITY OF READING For Member of Council (1st Ward),David A. Powell,Election,4612 READ 1-B,35
CITY OF READING For Member of Council (1st Ward),David A. Powell,Early,4611 READ 1-A,42
CITY OF READING For Member of Council (1st Ward),David A. Powell,Early,4612 READ 1-B,2
CITY OF READING For Member of Council (2nd Ward),Andrew J. Bronner,Election,4621 READ 2-A,108
CITY OF READING For Member of Council (2nd Ward),Andrew J. Bronner,Election,4622 READ 2-B,83
CITY OF READING For Member of Council (2nd Ward),Andrew J. Bronner,Early,4621 READ 2-A,15
CITY OF READING For Member of Council (2nd Ward),Andrew J. Bronner,Early,4622 READ 2-B,14
CITY OF READING For Member of Council (3rd Ward),Mark A. Bishop,Election,4631 READ 3-A,120
CITY OF READING For Member of Council (3rd Ward),Mark A. Bishop,Election,4632 READ 3-B,113
CITY OF READING For Member of Council (3rd Ward),Mark A. Bishop,Early,4631 READ 3-A,20
CITY OF READING For Member of Council (3rd Ward),Mark A. Bishop,Early,4632 READ 3-B,13
CITY OF READING For Member of Council (4th Ward),Robert P. Boehner,Election,4641 READ 4-A,125
CITY OF READING For Member of Council (4th Ward),Robert P. Boehner,Election,4642 READ 4-B,196
CITY OF READING For Member of Council (4th Ward),Robert P. Boehner,Early,4641 READ 4-A,12
CITY OF READING For Member of Council (4th Ward),Robert P. Boehner,Early,4642 READ 4-B,21
CITY OF SHARONVILLE For President of Council,Paul A. Culter,Election,4911 SHAR 1-A,63
CITY OF SHARONVILLE For President of Council,Paul A. Culter,Election,4912 SHAR 1-B,67
CITY OF SHARONVILLE For President of Council,Paul A. Culter,Election,4921 SHAR 2-A,133
CITY OF SHARONVILLE For President of Council,Paul A. Culter,Election,4931 SHAR 3-A,177
CITY OF SHARONVILLE For President of Council,Paul A. Culter,Election,4932 SHAR 3-B,151
CITY OF SHARONVILLE For President of Council,Paul A. Culter,Election,4941 SHAR 4-A,260
CITY OF SHARONVILLE For President of Council,Paul A. Culter,Election,4942 SHAR 4-B,178
CITY OF SHARONVILLE For President of Council,Paul A. Culter,Early,4911 SHAR 1-A,12
CITY OF SHARONVILLE For President of Council,Paul A. Culter,Early,4912 SHAR 1-B,24
CITY OF SHARONVILLE For President of Council,Paul A. Culter,Early,4921 SHAR 2-A,21
CITY OF SHARONVILLE For President of Council,Paul A. Culter,Early,4931 SHAR 3-A,26
CITY OF SHARONVILLE For President of Council,Paul A. Culter,Early,4932 SHAR 3-B,13
CITY OF SHARONVILLE For President of Council,Paul A. Culter,Early,4941 SHAR 4-A,22
CITY OF SHARONVILLE For President of Council,Paul A. Culter,Early,4942 SHAR 4-B,16
CITY OF SHARONVILLE For Treasurer,Kurt Irey,Election,4911 SHAR 1-A,62
CITY OF SHARONVILLE For Treasurer,Kurt Irey,Election,4912 SHAR 1-B,62
CITY OF SHARONVILLE For Treasurer,Kurt Irey,Election,4921 SHAR 2-A,134
CITY OF SHARONVILLE For Treasurer,Kurt Irey,Election,4931 SHAR 3-A,172
CITY OF SHARONVILLE For Treasurer,Kurt Irey,Election,4932 SHAR 3-B,147
CITY OF SHARONVILLE For Treasurer,Kurt Irey,Election,4941 SHAR 4-A,255
CITY OF SHARONVILLE For Treasurer,Kurt Irey,Election,4942 SHAR 4-B,171
CITY OF SHARONVILLE For Treasurer,Kurt Irey,Early,4911 SHAR 1-A,12
CITY OF SHARONVILLE For Treasurer,Kurt Irey,Early,4912 SHAR 1-B,24
CITY OF SHARONVILLE For Treasurer,Kurt Irey,Early,4921 SHAR 2-A,21
CITY OF SHARONVILLE For Treasurer,Kurt Irey,Early,4931 SHAR 3-A,27
CITY OF SHARONVILLE For Treasurer,Kurt Irey,Early,4932 SHAR 3-B,12
CITY OF SHARONVILLE For Treasurer,Kurt Irey,Early,4941 SHAR 4-A,23
CITY OF SHARONVILLE For Treasurer,Kurt Irey,Early,4942 SHAR 4-B,16
CITY OF SHARONVILLE For Member of Council at Large,Sue Knight,Election,4911 SHAR 1-A,65
CITY OF SHARONVILLE For Member of Council at Large,Sue Knight,Election,4912 SHAR 1-B,72
CITY OF SHARONVILLE For Member of Council at Large,Sue Knight,Election,4921 SHAR 2-A,148
CITY OF SHARONVILLE For Member of Council at Large,Sue Knight,Election,4931 SHAR 3-A,172
CITY OF SHARONVILLE For Member of Council at Large,Sue Knight,Election,4932 SHAR 3-B,139
